,Title,Release_Year,Genre,Synopsis,image_url,image_id
14,Familjen Bridgerton,(2020– ),"
Drama, Romance            ","
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","https://m.media-amazon.com/images/M/MV5BYTU1Yjc0NmQtOWVkMy00MWI2LWE3ZDktYmM3ZjQyZWNlNzY5XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt8740790
15,Clean,(I) (2020),"
Crime, Drama            ","
Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.","https://m.media-amazon.com/images/M/MV5BZGZiODYxNDktMWIzZi00ZGMwLWI2NGYtYWYyMzU5MThmMzExXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_UX67_CR0,0,67,98_AL_.jpg",tt10023022
16,Star Trek: Picard,(2020– ),"
Action, Adventure, Drama            ","
Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard (Sir Patrick Stewart) in the next chapter of his life.","https://m.media-amazon.com/images/M/MV5BMmMzNTE4MjItYWQwYy00MzMxLWI5NDMtYmQwMGY4MDZlOWU0XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg",tt8806524
17,Smiling Friends,(2020– ),"
Animation, Short, Comedy            ","
Follows employees of a small company dedicated to bringing happiness to a bizarre yet colorful world.","https://m.media-amazon.com/images/M/MV5BZjZlNzdjMDUtMzFlNC00ZTYxLTg4YzUtYTRjNTNkMjMxODYxXkEyXkFqcGdeQXVyMTM0MTUzNjA2._V1_UX67_CR0,0,67,98_AL_.jpg",tt12074628
18,Tenet,(2020),"
Action, Sci-Fi, Thriller            ","
Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX67_CR0,0,67,98_AL_.jpg",tt6723592
19,The Invisible Man,(I) (2020),"
Drama, Horror, Mystery            ","
When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt1051906
20,Big Sky,(2020– ),"
Crime, Drama, Mystery            ","
A private detective teams up with an ex-cop to solve a kidnapping case in Montana.","https://m.media-amazon.com/images/M/MV5BZTBjY2EwYjQtYjA3MC00YmJhLWI5NzktZjJlNjEyMDQwN2Y5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11794642
21,WandaVision,(2021),"
Action, Comedy, Drama            ","
Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.","https://m.media-amazon.com/images/M/MV5BZGEwYmMwZmMtMTQ3MS00YWNhLWEwMmQtZTU5YTIwZmJjZGQ0XkEyXkFqcGdeQXVyMTI5MzA5MjA1._V1_UX67_CR0,0,67,98_AL_.jpg",tt9140560
22,Promising Young Woman,(2020),"
Crime, Drama, Mystery            ","
A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.","https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9620292
23,Locke & Key,(2020– ),"
Drama, Fantasy, Horror            ","
After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","https://m.media-amazon.com/images/M/MV5BNmYyNWNkNGYtYTgyZS00NTA5LTliMzgtZWU5NzRhOTkxMTYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY98_CR5,0,67,98_AL_.jpg",tt3007572
24,The Queen's Gambit,(2020),"
Drama            ","
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10048342
25,The Father,(I) (2020),"
Drama, Mystery            ","
A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10272386
26,Fantasy Island,(2020),"
Action, Adventure, Fantasy            ","
When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.","https://m.media-amazon.com/images/M/MV5BOWE2ODZhYWYtNTFiYy00MjdmLWIzZGEtNTkyOTc1NDIwMjk4XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0983946
27,The Devil All the Time,(2020),"
Crime, Drama, Thriller            ","
Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7395114
28,The Flight Attendant,(2020– ),"
Comedy, Drama, Mystery            ","
A reckless flight attendant with an alcoholism problem wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. Unable to piece the night together, she begins to wonder if she could be the killer.","https://m.media-amazon.com/images/M/MV5BN2U5Y2NiMDgtNDg4NS00ZTU2LWFlMmQtMjA5YjBkNDg4NGQ5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7569576
29,The Little Things,(2021),"
Crime, Drama, Mystery            ","
Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","https://m.media-amazon.com/images/M/MV5BOGFlNTdmYWQtM2IzMi00YTY3LTlmMDQtZDI5NGQ5MjYzZmEwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10016180
30,Eight for Silver,(2021),"
Fantasy, Horror, Mystery            ","
In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process.","https://m.media-amazon.com/images/M/MV5BYWI0ZjNlOTctYWFmOC00OWQ1LWE5YmYtMGJmYjg1ZWVjNzU3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9907782
31,Space Force,(2020– ),"
Comedy            ","
The people tasked with creating a sixth branch of the armed services: The Space Force.","https://m.media-amazon.com/images/M/MV5BOGI3ZjYyOTktOWEzOC00NzhjLWEwODYtMWFiZDU5ZGRkMDE3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY98_CR5,0,67,98_AL_.jpg",tt9612516
32,Freaky,(2020),"
Comedy, Horror, Thriller            ","
After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.","https://m.media-amazon.com/images/M/MV5BMTRkYmJlY2ItNmFlZi00OWVhLTg1ZTctOGE0MjM5ZGMwMmY4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10919380
33,Mass,(2021),"
Drama            ","
Aftermath of a violent tragedy that affects the lives of two couples in different ways.","https://m.media-amazon.com/images/M/MV5BZGM3MDg1YzYtMzM0MS00ZGY2LWE4ZjctZDZhYmZlYjVlZGE5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11389748
34,The Stranger,(I) (2020),"
Crime, Drama, Mystery            ","
Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.","https://m.media-amazon.com/images/M/MV5BNWNlYzA2OWUtMWE1Mi00ZjMyLWExY2ItZDVlZmQ0YTMyZmEyXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9698480
35,Hamilton,(2020),"
Biography, Drama, History            ","
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8503618
36,Outer Banks,(2020– ),"
Action, Crime, Drama            ","
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","https://m.media-amazon.com/images/M/MV5BODRkZDYyMmUtYWE3MS00NzBkLWI3ZWYtMDU4YTUzODQwN2Y3XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10293938
37,A Quiet Place Part II,(2020),"
Drama, Horror, Sci-Fi            ","
Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","https://m.media-amazon.com/images/M/MV5BMTE2ODU4NDEtNmRjNS00OTk1LTg4NmMtNTAzYzVlNzJmYjgzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8332922
38,Secrets of Sulphur Springs,(2021– ),"
Adventure, Drama, Family            ","
A boy and his family moving into a supposedly haunted hotel on the edge of a small town.","https://m.media-amazon.com/images/M/MV5BZTg3ZGIxODUtYmJkNi00MjhjLWI2ZDItZTY4NzVhNzc4ZWFkXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10329642
39,A Violent Man,(2020),"
Crime            ","
Steve Mackleson is a dangerous prisoner, incarcerated for double murder in a maximum security prison. We follow, as he navigates his struggle against redemption the system and his inner ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BY2QwYzBkNjYtOTVjNC00ZmNlLWFhNzAtYzIzOTUwN2I5YTMzXkEyXkFqcGdeQXVyMzY2NTc3NjA@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12708382
40,Normala människor,(2020),"
Drama, Romance            ","
Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.","https://m.media-amazon.com/images/M/MV5BNzMzYmRiNGEtMDg5OC00OGZmLWFmNDktYzRlZTFkZmZiMjAzXkEyXkFqcGdeQXVyMTE2OTE2MzE1._V1_UX67_CR0,0,67,98_AL_.jpg",tt9059760
41,FBI: Most Wanted,(2020– ),"
Action, Crime, Drama            ","
It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.","https://m.media-amazon.com/images/M/MV5BZWE5ZmZmOTgtYzI0YS00ZDY4LWFiZmItMGVmYWZjMjlkMTYwXkEyXkFqcGdeQXVyNjc1NjcwNTg@._V1_UY98_CR3,0,67,98_AL_.jpg",tt9742936
42,The Night House,(2020),"
Horror, Mystery, Thriller            ","
A widow begins to uncover her recently deceased husband's disturbing secrets.","https://m.media-amazon.com/images/M/MV5BZmIwNjJhOGYtNDcyNi00Yjc4LThiNTktMDM2ZjFhM2YxMTljXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9731534
43,Tides,(2021),"
Action, Adventure, Sci-Fi            ","
Set in the distant future, a female astronaut, shipwrecked on the long-decimated Earth, must decide the fate of the wasteland's remaining populace.","https://m.media-amazon.com/images/M/MV5BOGYzYjg5NTQtOGQzZC00N2YxLWIwM2UtNDc1ZTdkYjQzNWZhXkEyXkFqcGdeQXVyMTM0ODMzMDcz._V1_UX67_CR0,0,67,98_AL_.jpg",tt6506264
44,Nomadland,(2020),"
Drama            ","
A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","https://m.media-amazon.com/images/M/MV5BMDRiZWUxNmItNDU5Yy00ODNmLTk0M2ItZjQzZTA5OTJkZjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9770150
45,The Silencing,(2020),"
Action, Crime, Mystery            ","
A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.","https://m.media-amazon.com/images/M/MV5BYjE2MjIwMmYtM2ZiMy00MzdmLTkyNTYtNmFiNjM5MDJhMGVmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7149730
46,The Courier,(2020),"
Drama, History, Thriller            ","
Businessman Greville Wynne is asked by a Russian source try to help put an end to the Cuban Missile Crisis.","https://m.media-amazon.com/images/M/MV5BYjg4YTJlNzMtY2U0OC00N2FjLWI0ZTgtNGM1NDRhMWNhZmRkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8368512
47,Wonder Woman 1984,(2020),"
Action, Adventure, Fantasy            ","
Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.","https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7126948
48,Too Hot to Handle,(2020– ),"
Game-Show, Reality-TV, Romance            ","
On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.","https://m.media-amazon.com/images/M/MV5BYmM0M2M3N2YtMzQ2OS00YTIzLTk4MWQtNzg1ZWFmNzE3NTEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12004280
49,Run Hide Fight,(2020),"
Crime, Drama, Thriller            ","
17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.","https://m.media-amazon.com/images/M/MV5BNTkyMzMxN2MtNjFjYS00MmRjLWJjMjctYzBlMGZiM2I1MmQ2XkEyXkFqcGdeQXVyNjIwNjI4NTA@._V1_UY98_CR0,0,67,98_AL_.jpg",tt11456054
50,Pestens tid,(2020–2021),"
Adventure, Drama, Fantasy            ","
After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.","https://m.media-amazon.com/images/M/MV5BNzNlZGJmNGItNzE0Ny00Yzc5LTk0NDQtODRkNWYwMTE2MDVlXkEyXkFqcGdeQXVyMTI3MjgxNjg0._V1_UX67_CR0,0,67,98_AL_.jpg",tt1831804
51,Walker,(2021– ),"
Action, Crime, Drama            ","
A widowed father returns to Austin after one year, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death.","https://m.media-amazon.com/images/M/MV5BNjM5ODI1NjItNjZhOC00ZTliLThiODMtMDg3YWM5YzljZWVkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt11006642
52,Passera,(I) (2021),"
Drama            ","
""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities.","https://m.media-amazon.com/images/M/MV5BYTNhOTlmMDYtNWUyMi00Y2E0LThmYmItNGY4ZGI2ZDgwZmI3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt8893974
53,The Equalizer,(2021– ),"
Action, Crime, Drama            ","
An enigmatic figure who uses her extensive skills to help those with nowhere else to turn.","https://m.media-amazon.com/images/M/MV5BYmY3MTgwYWUtMTc2NC00ZDdmLWIyNDAtOGJkNTQyZjM0NDA5XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt11242246
54,Själen,(2020),"
Animation, Adventure, Comedy            ","
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt2948372
55,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),"
Action, Adventure, Comedy            ","
After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","https://m.media-amazon.com/images/M/MV5BMzQ3NTQxMjItODBjYi00YzUzLWE1NzQtZTBlY2Y2NjZlNzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7713068
56,After We Collided,(2020),"
Drama, Romance            ","
Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","https://m.media-amazon.com/images/M/MV5BN2UyNGM3MDUtMTIzZi00ZDdkLThlYTktYjk0ZDMzM2JiMjMyXkEyXkFqcGdeQXVyNzE0MjkxMzA@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10362466
57,Mythic Quest: Raven's Banquet,(2020– ),"
Comedy            ","
The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.","https://m.media-amazon.com/images/M/MV5BMzBhOTZlMjEtMzAyZS00MzI2LTk4YjItNGIzNzQ3ZGY1ZWQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8879940
58,Upload,(2020– ),"
Comedy, Mystery, Sci-Fi            ","
A man is able to choose his own afterlife after his untimely death, by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise.","https://m.media-amazon.com/images/M/MV5BYjc5OWU5NzktNTU5MS00NzhiLWE5ZGEtOTIyMjJkOGEwMzQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7826376
59,Vigil - död man ombord,(2021– ),"
Crime, Drama, Mystery            ","
The mysterious disappearance of a Scottish fishing trawler and a death onboard a Trident nuclear submarine bring the police into conflict with the Navy and British security services.","https://m.media-amazon.com/images/M/MV5BNTc2MzdiYmItZWUxMi00NjlhLThhZWMtYTQ0YTQwZTM3MmZkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11846996
60,Malcolm & Marie,(2021),"
Drama, Romance            ","
A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.","https://m.media-amazon.com/images/M/MV5BYjVkMmU1NGItZjM4MC00ODM1LWEyOTEtY2Y1NTg0YjRhYjEwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12676326
61,The Outsider,(2020),"
Crime, Drama, Fantasy            ","
Investigators are confounded over an unspeakable crime that's been committed.","https://m.media-amazon.com/images/M/MV5BNzgxOTc4ODctNDNhZC00M2UzLTgyYzgtM2Q2OTk3NmQ5NTljXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8550800
62,Wrong Turn,(2021),"
Horror, Thriller            ","
Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.","https://m.media-amazon.com/images/M/MV5BM2Y5ZWE2MTMtODE3ZC00NWQ4LWJkNzctNGY4Njg5NDY5MzNlXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9110170
63,Alice in Borderland,(2020– ),"
Action, Drama, Mystery            ","
A group of bored delinquents are transported to a parallel dimension as part of a survival game.","https://m.media-amazon.com/images/M/MV5BZmUwMGI4M2QtYmRlYy00NDQ1LThjNDAtYTI4NDNiNDg5MDViXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10795658
64,A Teacher,(2020),"
Drama            ","
A Teacher explores the complexities and consequences of a predatory relationship between Claire Wilson, a young teacher at a suburban Texas high school and her student, Eric Walker.","https://m.media-amazon.com/images/M/MV5BZjgzMmUwZjgtNzNhMi00M2Y0LWIxOTAtYzYzODdjMTYzZWQyXkEyXkFqcGdeQXVyMTIwNDUyNzMy._V1_UX67_CR0,0,67,98_AL_.jpg",tt10680614
65,Emma,(2020),"
Comedy, Drama, Romance            ","
In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.","https://m.media-amazon.com/images/M/MV5BOGRiODEzM2QtOTUyYi00MWRlLTg4MzMtZGI0YmUzNWUyMjQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9214832
